simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
1,1,0,0.02,0,0.013624381387009646,-0.013624381387009646,0.1,-0.07597891352769304,18.319375193417752,0.1480353550983251,0.09659306920165713,1,1,0.06667496519556444,0.2995819753235075,0.28323539605416076
1,2,0.0018860929472163742,0.02,0,0.013673616637650522,-0.013673616637650522,0.109,-0.08291777067285588,29.428755305218885,0.14840777402854785,0.07337381604899822,0.9893656721931161,1.0278028048577736,0.10776375431686788,0.29943738520872726,0.2829579670793125
1,3,0.002285601838926784,0.02,0,0.013682179365390606,-0.013682179365390606,0.11790999999999997,-0.08980452106506043,37.22919190658877,0.14878112986914233,0.05677996303309392,0.9973792184447998,1.0091559465463267,0.13129053705247481,0.3017421591632832,0.28890827944848085
1,4,0.02804661852439481,0.02,0,0.014905595310977638,-0.014905595310977638,0.10908909999999991,-0.08298655269985578,42.9008487685396,0.14841148445480307,0.04641971164888513,0.9986656448788885,1.0151375463040222,0.14013820517407766,0.30778021743980444,0.2864510049649008
1,5,0.031034621876981396,0.02,0.008560717851064714,0.01840113913559356,-0.009840421284528847,0.10017999099999986,-0.07611751322552696,46.71880774065099,0.14804275742125886,0.0397742198338798,0.997108353498553,1.0183191678797374,0.14569667844558315,0.29775231532591706,0.29376162217428087
1,6,0.03484968369561868,0.02,0.01371323355837939,0.021540398344859244,-0.007827164786479855,0.09118179090999991,-0.06919702008556361,49.32109993191,0.1476749464868007,0.03589650983626212,1.0079281777459548,1.0119674127224316,0.14762493187226056,0.29977656001633535,0.28236998786757156
1,7,0.03657493122933147,0.02,0.01988984872760402,0.023963848851671125,-0.004074000124067105,0.08209360881909993,-0.062224687857852734,50.7545207526802,0.14730804937538847,0.03449826641074084,1.0080984603604084,1.0176458973387974,0.14961013574171664,0.295394581200679,0.2792981673792846
1,8,0.03508647999105489,0.02,0.02364139765226758,0.022801236818785372,0.0008401608334822099,0.07291454490729098,-0.055200128233214074,51.41510238611522,0.14694206381663674,0.03482600252961073,0.9990303185543028,1.0250975117381431,0.153536936384697,0.30177124753153,0.28996720567240314
1,9,0.0364927519845375,0.02,0.02362032882225651,0.023619691014018177,6.378082383316774e-07,0.06364369035636389,-0.048122949993773756,52.06424566438555,0.14657698754580087,0.03529221097112561,0.9999658013919781,1.028761337877826,0.15589107837113755,0.30554682565899977,0.2829037833765567
1,10,0.03623862167231727,0.02,0.027070500046395995,0.023951822723180402,0.0031186773232155934,0.054280127259927556,-0.04099275899117638,52.04945349932313,0.1462128183037631,0.037078364947835445,1.0005729618134889,1.0188409998679129,0.157683566037307,0.3017236810495572,0.2732578791185915
1,11,0.011502909068849506,0.02,0.02858572177423091,0.024237594367200015,0.004348127407030895,0.06373732598732829,-0.04819434166494618,52.32771233820383,0.14658065219953326,0.03644279874272292,1.014489580256492,1.0150249175672796,0.1683343468984189,0.30790519502203173,0.2734074847323237
1,12,0.033661122956927116,0.02,0,0.02032258050863132,-0.02032258050863132,0.054374699247201536,-0.04106468543335873,54.76431938063013,0.14621647385269537,0.03347969950803303,1.0253317537536308,1.0149442232234391,0.16716022748866965,0.3114948912972671,0.2707323701212463
1,13,0.03484210838310894,0.02,0.025497932735572437,0.021855010800813975,0.003642921934758462,0.04491844623967359,-0.033881623343615885,54.41442167286127,0.14585320030377122,0.035055529099292465,1.032221181763039,1.0044117862824578,0.16436557240050773,0.3155108389926862,0.277260102772727
1,14,0.036982660762369585,0.02,0.028756037529638068,0.02334695151313723,0.005409086016500839,0.0353676307020703,-0.026644755350386795,54.186441926691245,0.14549082930479837,0.03725348143260217,1.0208646947649722,1.0124190903910664,0.16346411837101377,0.31154339134219466,0.2772300913434036
1,15,0.012597242474857748,0.02,0.03320581699409453,0.02407415835712491,0.009131658636969617,0.045013954395049606,-0.03395408312763881,54.09362476627092,0.14585684686169154,0.037377440289426994,1.011229989440947,1.010149975955853,0.17296180502957467,0.3054024533335181,0.28599001529783374
1,16,0.033681340575805824,0.02,0.0022582415776351006,0.02067223808808131,-0.018413996510446208,0.03546409393900012,-0.02671775790629416,56.57631824867611,0.14549446680287742,0.03445173145062321,0.9954269491690879,1.0076268051988342,0.17497640805697617,0.3042410124671016,0.2873797765433284
1,17,0.03410149061184278,0.02,0.029240741355583966,0.02204062325697547,0.007200118098608495,0.02581873487839016,-0.01942722780524908,55.8688218082027,0.14513298707414624,0.036753425258659524,0.9944763246282485,1.0088371579535156,0.16965771549587605,0.3149912109063385,0.283857636598995
1,18,0.01052378924538411,0.02,0.03167198468991561,0.024127881373702413,0.007544103316213198,0.03556054752960631,-0.02679075498694139,55.42681059263247,0.14549810439189964,0.0375652329097731,0.9948415008915703,1.0179230558724677,0.17810316268065796,0.3097514656856187,0.2851401580821312
1,19,0.007989870159180467,0.02,0.001614762048028684,0.021327070137573373,-0.01971230808954469,0.04520494205431021,-0.03409898639243725,57.93938569248508,0.14586414025104336,0.032602502297223515,0.9849738759780894,1.017764376472436,0.1867706078356706,0.3052359601213163,0.28893612757542825
1,20,0.03197509465841692,0.02,0,0.018394821460030783,-0.018394821460030783,0.035656991474853274,-0.026863746592738935,60.230872049830694,0.14550174207186728,0.02882837681844778,0.9845047874762579,1.0201400923891488,0.18243208663289529,0.3060222462714496,0.28132544631786055
1,21,0.03455704421989269,0.02,0.027164111356479115,0.021865351167627917,0.005298760188851198,0.026013561389601817,-0.019574310043869114,59.568207900850595,0.14514024426779398,0.030904906192326796,0.982918540895998,1.0200992195598062,0.17666032005953108,0.3061633887501839,0.2747873932754777
1,22,0.03679317938815083,0.02,0.032178184830500056,0.022911957216421336,0.00926622761407872,0.01627369700349777,-0.012230270776198093,58.52104127456991,0.1447796446018494,0.034559952818279685,0.9879827776206084,1.015424741495436,0.17384285123912255,0.3036593176584403,0.2700464701122637
1,23,0.011628663216870741,0.02,0.03683198543409172,0.024195400075259055,0.012636585358832664,0.026110960033462787,-0.019647842889803147,57.409453133367954,0.14514387300069934,0.03670739826257239,1.0014555337889934,1.0202069395853621,0.18177981070643112,0.3140365798198738,0.26982648799175446
1,24,0.007221768122419949,0.02,0.004769518780037174,0.019581530347920706,-0.014812011567883532,0.035849850433128154,-0.027009713381428213,59.40367573663785,0.1455090177046479,0.0329268444860227,0.9915975543581524,1.0258205030411398,0.1896415964146405,0.3156734319935332,0.27225529392217235
1,25,0.03186751288727883,0.02,0,0.01840431097407278,-0.01840431097407278,0.02620834893745939,-0.01972137022070486,61.69786048943512,0.14514750182432865,0.02918819788080264,0.9883690198157721,1.0316925297699684,0.1862401190822225,0.3075267519723365,0.276328965643205
1,26,0.03405866568427404,0.02,0.028919941186917875,0.019825136185080697,0.009094805001837177,0.01647043242683401,-0.012378432531383377,60.82301615672647,0.14478688412704838,0.031626415855680004,0.9852540141068223,1.026543784630259,0.18175196417277148,0.3060985015420841,0.27672477942664864
1,27,0.008177153059961048,0.02,0.0335113009009218,0.02260015393308411,0.010911146967837692,0.026305728102565696,-0.01979489203698781,59.956322033121566,0.14515113073868424,0.033109495892158336,0.9886728843420621,1.0169949871883033,0.1892921435099293,0.3054070076157268,0.28115425311990067
1,28,0.005863733150633224,0.02,0.0006192111281935198,0.019239140898214553,-0.018619929770021033,0.036042670821540015,-0.027155658275646588,62.30384892265345,0.14551629370123742,0.028388046077473566,0.9858403888324502,1.016640599445181,0.19603408890325955,0.30548479422887576,0.2747494771171303
1,29,0.03049403375393891,0.02,0,0.016411043719423143,-0.016411043719423143,0.026403097529755427,-0.01986840833906567,64.07770428656518,0.14515475974376835,0.02553158839090647,0.9916344637518553,1.0155278565179677,0.19060278930125077,0.29908214757719737,0.2812080178774989
1,30,0.036258724185711785,0.02,0.027237707310816983,0.022322610624353766,0.004915096686463217,0.016667128505053027,-0.012526572062861119,62.99336870683032,0.14479412401425085,0.02832621306284592,0.9838997755204073,1.0234136231056497,0.17829887732892674,0.30412001376474174,0.2773140341886812
1,31,0.007988839690446886,0.02,0.036110438486879115,0.02193532949724165,0.014175108989637464,0.026500457220002546,-0.01994191912735188,61.39064290519643,0.1451583888395833,0.03113332595070122,0.9886312095703341,1.0301347690005656,0.18343048690097702,0.3037972236802252,0.2790282069383679
1,32,0.005294492360009723,0.02,0.00035697508522747334,0.019556103511840017,-0.019199128426612543,0.0362354526478025,-0.027301581278678322,63.4381875426664,0.14552357006165406,0.02702901127508454,0.9934288815761168,1.0286294571493093,0.18985947702775452,0.30597588037372947,0.2820307166101341
1,33,0.03159996682331764,0.02,0,0.017195429962202392,-0.017195429962202392,0.026597807174280546,-0.020015424402260118,65.13814654510246,0.14516201802613127,0.02427073769506493,0.9970775875770024,1.0362356308913045,0.1836938866551051,0.30473675205152184,0.2816902966618055
1,34,0.033993419771230576,0.02,0.028521755926739,0.02007887483245136,0.00844288109428764,0.016863785246023326,-0.012674689373964654,63.742178126257734,0.14480136426347473,0.027685639287388594,0.9898719701090012,1.0315278732918998,0.17326157525279423,0.3001397490989722,0.28889346398918586
1,35,0.008309705383162723,0.02,0.03335308290996464,0.02332347656776448,0.010029606342200157,0.02669514739356305,-0.020088924164203714,62.56026863959698,0.14516564730341455,0.02965798304065759,0.9865813059793593,1.0367521153757564,0.17814423940489266,0.29234183211287046,0.291641904125898
1,36,0.0055729035824741945,0.02,0.0007011542892705336,0.01911058676433642,-0.018409432475065886,0.036428195919627454,-0.027447482393806566,64.57002653485111,0.145530846785916,0.025486410718494383,0.9747551462404219,1.0395279205415757,0.18383847479616994,0.29221542747755547,0.2864149144908787
1,37,0.03184557733874413,0.02,0,0.0184866371137891,-0.0184866371137891,0.026792477878823776,-0.02016241841359645,66.28233077113204,0.14516927667143548,0.02268519994940134,0.9701170853955506,1.0298355531746894,0.17705934468760803,0.29508289282813943,0.28701935584282673
1,38,0.03443893327324302,0.02,0.028776602269278362,0.020529053927735495,0.008247548341542867,0.01706040265761203,-0.012822784468026982,64.89485416520809,0.1448086048747383,0.02605333737234313,0.9645393819523362,1.0285038763212764,0.168860443018855,0.2951636605237155,0.2852546557241162
1,39,0.007961107656949738,0.02,0.03384741388026269,0.02259546099479597,0.01125195288546672,0.026889798631035886,-0.02023590715085144,63.65427487287582,0.1451729061301963,0.028102760062012285,0.9610724189934016,1.0243410552245167,0.1744374642338143,0.3027495739987001,0.2928965145979813
1,40,0.005218477641375177,0.02,0.00024808337929593804,0.018941266730360003,-0.018693183351064065,0.03662090064472557,-0.027593361624314805,65.65606678331913,0.14553812387404147,0.023911177725805224,0.9618090151397138,1.020034022107031,0.1797063272930331,0.2990734441856513,0.2874586149152269
1,41,0.03045719358820188,0.02,0,0.016434832570309473,-0.016434832570309473,0.026987109651172774,-0.02030939037638213,67.23841961064872,0.1451765356796992,0.021358686905201398,0.9547953330585266,1.0236014607191504,0.17265448631205374,0.30116837741533975,0.29422356328856725
1,42,0.03421447027449071,0.02,0.027076786469379943,0.020396224209701865,0.006680562259678079,0.01725698074768445,-0.012970857348380327,66.02426678714782,0.14481584584805957,0.024362872740798062,0.9626090201055337,1.0245042437977867,0.16592109817590409,0.29942371362465764,0.2954443843451024
1,43,0.007590547526018143,0.02,0.033538268648062086,0.022766744927829353,0.010771523720232733,0.02708441094020759,-0.02038286809060208,64.74356186987933,0.1451801653199466,0.026404085728307672,0.9685293852776838,1.0133875038235887,0.17068120122562425,0.3083712197504623,0.30087552904472387
1,44,0.005813847294090526,0.02,0,0.01865358500985295,-0.01865358500985295,0.036813566830805486,-0.027739218973485413,66.68388742939037,0.14554540132604862,0.022258532131581337,0.9665588707750556,1.0192985332921294,0.17482069750357332,0.3156501341790159,0.30421689134905866
1,45,0.03291597999421497,0.02,0,0.017742585203470773,-0.017742585203470773,0.0271817024991135,-0.020456340293924513,68.41626960769663,0.1451837950509406,0.019351870387046836,0.9707568702277236,1.010452719757532,0.1675720953246565,0.30854566912210696,0.3109642885726972
1,46,0.0370460471961877,0.02,0.02997932319314045,0.022085177231199075,0.007894145961941375,0.01745351952410465,-0.013118908018357245,67.34068563172026,0.14482308718345666,0.022027055488311093,0.9595633288040311,1.002312225984041,0.16142770803517256,0.3117014652283473,0.3153881148971089
1,47,0.008465884552913026,0.02,0.03689480484638996,0.023374322823343213,0.013520482023046749,0.027278984328863658,-0.02052980698676299,65.91366578561787,0.14518742487268355,0.024346358037955998,0.9760143735674892,1.0000222274822095,0.16560014793318056,0.30769377931344905,0.30194703732417183
1,48,0.0063873578530654306,0.02,0.0007733645809839818,0.02030181671721525,-0.019528452136231268,0.037006194485575065,-0.027885054444600765,67.79871750013108,0.1455526791419557,0.020313411868608126,0.9714869540907018,1.0060336790787194,0.1705108191155143,0.30592540537507984,0.3052733156029574
1,49,0.03104753582215976,0.02,0,0.016919335894681656,-0.016919335894681656,0.027376256430430772,-0.02060326816953062,69.22146536912707,0.14519105478517777,0.018058982994989505,0.9669530476016964,0.9979549179723236,0.1633705604546813,0.29752947716139105,0.3132794106565898
1,50,0.03619622470761636,0.02,0.027705041697560162,0.02042237944332903,0.0072826622542311314,0.017650018994735093,-0.013266936481288627,68.18901603866371,0.14483032888094763,0.02064772972181662,0.9619071656846422,0.9885861559680194,0.15663607333603194,0.3006464441618277,0.31859346461296384
1,51,0.00625600838887135,0.02,0.03583524334808086,0.022614707107364462,0.013220536240716396,0.027473518804787773,-0.02067672384264052,66.79096846214246,0.14519468478842543,0.022852206726026374,0.9600528559278287,0.9928907181552139,0.16052448513607323,0.3068342863888309,0.3202212841650947
1,52,0.004449326699657609,0.02,0,0.01935907993260794,-0.01935907993260794,0.03719878361673989,-0.028030868040942236,68.66239296726843,0.14555995732178081,0.018796816414456182,0.9729563130066708,1.005081242537601,0.16472401795861133,0.30134981940508276,0.32297718532676384
1,53,0.03273183638705249,0.02,0,0.017409592242019354,-0.017409592242019354,0.02757077145290725,-0.02075017400650625,70.1435752870726,0.14519831488242885,0.016377873628034823,0.9754726163870048,1.0020855714702774,0.15742116916092228,0.2966279696962256,0.33119295088963513
1,54,0.03698170532458716,0.02,0.029680991725632877,0.021768368027894194,0.007912623697738683,0.017846479167436313,-0.013414942740505809,69.0078963907322,0.1448375709405507,0.019155174495588127,0.9694466830201315,1.0025708705047716,0.14724722335784582,0.2963940383822132,0.325154181578122
1,55,0.008481762309745903,0.02,0.0367375372099088,0.0238158387152724,0.0129216984946364,0.027668014375761912,-0.02082361866154059,67.608880202267,0.14520194506719034,0.021323266316629792,0.97067341316191,1.0027224703071669,0.15046583034311073,0.2999758693947817,0.3272383171853348
1,56,0.00502131029303002,0.02,0.0007164898914275852,0.01952505544888369,-0.018808565557456105,0.03739133423200428,-0.02817665976579109,69.37861637802128,0.1455672358655422,0.017426306875100862,0.9746874257799099,0.9985655612768262,0.15381746002308172,0.3015229215888461,0.3176508895671606
1,57,0.03305222228098293,0.02,0,0.017434893422510932,-0.017434893422510932,0.02776524757432435,-0.020897057808157093,70.78398244896155,0.14520557534271206,0.015163473407753232,0.9815024826298795,0.999701321644705,0.14671127231698508,0.301554878968401,0.3175590559882657
1,58,0.03611908955852086,0.02,0.030025345745115617,0.02038636223652629,0.009638983508589327,0.0180429000500676,-0.013562926799339015,69.35025500006401,0.14484481336228391,0.018546079356837896,0.9845611200854498,0.9930333422689669,0.1378105813180217,0.29793463058250047,0.31144366690676456
1,59,0.008783977061369377,0.02,0.03566275941433217,0.023847024313040952,0.011815735101291216,0.02786247104956692,-0.02097049144676877,67.89570606604111,0.14520920570899631,0.020808361745907885,0.9952985356817503,0.9881310368157368,0.1415420054917192,0.2984537565667834,0.31391182504452175
1,60,0.004287734400763842,0.02,0.0010384852328275684,0.019255917551812787,-0.01821743231898522,0.03758384633907121,-0.028322429622427925,69.31107492912261,0.14557451477325808,0.017590580667514663,0.9916638069075334,0.9934401340302677,0.14534205744637843,0.2878819822409197,0.30257519949475464
1,61,0.03310795252205749,0.02,0,0.01721256990836136,-0.01721256990836136,0.02795968480246188,-0.021043919577788617,70.72167903521316,0.14521283616604544,0.015320261902336561,1.0030346541795423,0.9977585863278795,0.13684038159396764,0.29271306291567,0.29786215662603654
1,62,0.03880158322599494,0.02,0.030053055384228422,0.020864967952883492,0.00918808743134493,0.018239281650486532,-0.01371088866111847,69.29462635052074,0.14485205614616534,0.018648593002361134,1.0183945855074323,0.9925391261544556,0.12739246409130842,0.29511423655056185,0.3057426898564461
1,63,0.009371572073498995,0.02,0.03884109092176402,0.02385163086315369,0.014989460058610331,0.0280568888339817,-0.021117342201629974,67.73956978337046,0.14521646671386168,0.02110650917540628,1.0233342499163183,0.9915517553815498,0.13051945226840497,0.2963687483206772,0.30995861278624703
1,64,0.006427456162144436,0.02,0.0017003351089937002,0.019492349844068523,-0.017792014735074822,0.03777631994564194,-0.028468177614133006,69.36143347443274,0.14558179404494667,0.017518822707172147,1.031539844628791,0.98537007662022,0.1334720767239521,0.30395087671677734,0.29795928715440956
1,65,0.03457555849050791,0.02,0,0.017766590171837522,-0.017766590171837522,0.028154083145098412,-0.02119075931870551,70.82776309962424,0.14522009735244729,0.015124215693770676,1.0294003405131333,0.9862416143287893,0.12693582399540013,0.3037385047400957,0.2974609868817322
1,66,0.038810676964451195,0.02,0.03177020340644421,0.021106343336370514,0.010663860070073694,0.018435623976549437,-0.013858828329173734,69.42326030557912,0.1448592992922131,0.018405763523655038,1.0364837419780906,0.9788956144375511,0.11993069309070419,0.29812773977158197,0.29978341393071967
1,67,0.008923727093183344,0.02,0.03881194507076935,0.0232690302376043,0.015542914833165049,0.028251267736783915,-0.021264170929428672,67.69979217023327,0.14522372808180448,0.021231294422026585,1.0303100965719332,0.9696112576172053,0.123208613428012,0.3010595443095899,0.29942326408059894
1,68,0.00458404883344778,0.02,0.0011291745004922138,0.01829169846654414,-0.017162523966051925,0.03796875505941614,-0.02861390374418593,69.1394175953385,0.14558907368062615,0.018041801670108278,1.037648026418002,0.9620860945223932,0.12669428879763292,0.29413481509794537,0.29146891570015876
1,69,0.03479986735643753,0.02,0,0.01753917530866026,-0.01753917530866026,0.028348442610010238,-0.021337577034211908,70.57592477878566,0.14522735890193564,0.01569082969725691,1.0287593648391709,0.9512532006839403,0.12068574875182547,0.29588060382768,0.2967900185010423
1,70,0.03831644947844296,0.02,0.03199963564865271,0.021147422311826057,0.010852213336826656,0.018631927036110368,-0.014006745806833254,69.45160972031097,0.14486654280044536,0.018415909835108178,1.032496649950579,0.9429709457959834,0.1158057921002046,0.2954582415001385,0.29561497829985617
1,71,0.008646881449977528,0.02,0.038178880955819894,0.023754862600610795,0.014424018355209099,0.028445607765749288,-0.021410977633468664,68.06674710968478,0.14523098981284296,0.020572399566775257,1.0401254697584792,0.9455531463062719,0.11866361397382137,0.3001360371743267,0.2969081661295605
1,72,0.006243216785280426,0.02,0.0007617092989136154,0.02033811819523384,-0.019576408896320223,0.03816115168809176,-0.028759608015865634,69.55007842727456,0.14559635368031476,0.017229890361098173,1.0361773334315185,0.9519815361562952,0.12214959267444907,0.30384339683535033,0.299317715438969
1,73,0.033872081438008926,0.02,0,0.017291298312258147,-0.017291298312258147,0.02854276320497263,-0.0214843727276115,70.87343364180336,0.14523462081452876,0.015111175642539925,1.0399504175822893,0.9562302444616763,0.11598198489492789,0.31154217465023337,0.3037620621301054
1,74,0.03966200192093743,0.02,0.0308504491630599,0.021803031738851054,0.009047417424208847,0.018828190837022363,-0.014154641097425813,69.84482007909132,0.1448737866708802,0.01762369098498335,1.0449936204813652,0.9691149694579995,0.10803773062447125,0.31802788989310893,0.30853546929017
1,75,0.010657092176844025,0.02,0.039753475514046954,0.02500700928301472,0.014746466231032235,0.028639908928652175,-0.02155776231705364,68.3897811199304,0.1452382519069952,0.0198443663608775,1.0494382750356566,0.9659694753986992,0.11080494807095359,0.31529750786115274,0.31452973807798684
1,76,0.006116602848598109,0.02,0.0031176806069963536,0.020627979292450443,-0.01751029868545409,0.03835350983936564,-0.028905290432451047,69.69369546578689,0.14560363404403062,0.01686669999947514,1.0519041581466002,0.9533271863214514,0.1136107072728953,0.31574228531553983,0.31280356920063224
1,77,0.035853591687237465,0.02,0,0.018583006529735158,-0.018583006529735158,0.028737044937759266,-0.021631146402207646,71.20248237790831,0.1452418830902447,0.014386796934857272,1.0512995243816021,0.9517682127275883,0.10743594402242522,0.31881170193958647,0.3103328888590406
1,78,0.03928410451370095,0.02,0.033182737459581446,0.021030076744988153,0.012152660714593293,0.019024415387136857,-0.014302514204279415,69.82773638559867,0.14488103090353574,0.017598639065473765,1.0432759508294038,0.9519612531915347,0.09901274733635841,0.3158278654231457,0.31445148606170265
1,79,0.007274189804126586,0.02,0.03925994636222474,0.022532245139965965,0.016727701222258775,0.028834171233265465,-0.021704524983486517,68.2501703811766,0.14524551436427938,0.02015699214783063,1.0391683379008771,0.9514021512408631,0.10178333222906957,0.31726122740161344,0.3167122320645157
1,80,0.003636819631012821,0.02,0,0.019570871257677702,-0.019570871257677702,0.03854582952093279,-0.029050950997220326,69.6396246371487,0.1456109147717919,0.01705079112839404,1.033242234621155,0.9542057530215676,0.10524558409672666,0.31858473345146127,0.32241412271317804
1,81,0.03307286908792364,0.02,0,0.016534393000699445,-0.016534393000699445,0.028931287816142116,-0.021777898061302925,70.87459020151182,0.14524914572910158,0.015106691582528153,1.0282682224985844,0.9623289479795748,0.09997793352267316,0.3093355836165626,0.3168204892361485
1,82,0.03997067675990467,0.02,0.02981648185081487,0.021559971007203214,0.008256510843611654,0.019220600694303584,-0.01445036513072162,69.70092539210675,0.14488827549843,0.017902947381138096,1.0350394732509056,0.961614782067783,0.09068855829649383,0.3002731740646636,0.3129301537922323
1,83,0.008886100290997408,0.02,0.04004382500276171,0.023854407728647876,0.016189417274113837,0.02902839468736056,-0.021851265636069872,68.10387727140362,0.14525277718471363,0.02042514024967753,1.048732332714461,0.9613033968237364,0.0928565994138878,0.3022563896189793,0.3107785477677364
1,84,0.005323378879434384,0.02,0.0009331209368561577,0.020690924022430637,-0.01975780308557448,0.03873811074048695,-0.02919658971345107,69.46324320397622,0.14561819586361693,0.017378291189342965,1.0459933040374165,0.9611621776808714,0.09568004615541409,0.29811287238788287,0.3169362989229332
1,85,0.03500942164120005,0.02,0,0.016947506632859984,-0.016947506632859984,0.029125491847891795,-0.021924627708199695,70.7556770030544,0.14525640873111778,0.015305330281641143,1.044113973512117,0.9637390164016456,0.08988760058785729,0.28684101333736245,0.3117878841475525
1,86,0.03882788011997927,0.02,0.03209449653870933,0.021019241731950234,0.011075254806759093,0.019416746766370695,-0.014598193880079324,69.61548536448527,0.14489552045558127,0.01805187796402246,1.036081446304888,0.9718522858399812,0.08584917734769267,0.28892611729999895,0.30052855426908875
1,87,0.00872178970154699,0.02,0.03863255003533528,0.02389045755649871,0.01474209247883657,0.029222579298707047,-0.02199798427810551,68.18871511974739,0.14526004036831625,0.02028139022782023,1.02471999294644,0.9763099312787736,0.0883996929341673,0.2897240431864219,0.2992554979543094
1,88,0.005462352045024537,0.02,0.0006997408042788145,0.01990334752706527,-0.019203606722786457,0.03893035350571995,-0.02934220658442066,69.65450425213986,0.14562547731952385,0.016985148940916413,1.0274780079347008,0.9823639879256834,0.09069319142967192,0.2892909593522869,0.2992790681263865
1,89,0.0348399928285817,0.02,0,0.017290383927820164,-0.017290383927820164,0.02931965704077709,-0.02207133534619976,71.06182444503695,0.14526367209631127,0.014680308972387231,1.0184164427562772,0.9905149329293769,0.08587309971554728,0.2918536751075903,0.29519159187544264
1,90,0.038743148781234235,0.02,0.0318528248691865,0.021103702336766145,0.010749122532420358,0.019612853611184845,-0.014746000455678865,70.074205149696,0.14490276577500752,0.01712247914702922,1.0079514146629522,0.994997592001624,0.0827486525748339,0.29074111754527615,0.2942442233948133
1,91,0.008134946766418714,0.02,0.03849094021490829,0.023913732225048362,0.014577207989859925,0.029416725075073032,-0.02214468091289501,68.68889287050217,0.14526730391510517,0.01924457382005784,1.0043812365206335,0.9931797577103056,0.0843926460083008,0.2891032434093217,0.2855329632597102
1,92,0.004165997478800418,0.02,0,0.019908931085138363,-0.019908931085138363,0.03912255782432226,-0.029487801613405473,70.17224291942169,0.1456327591395309,0.015891922333870767,1.010446676650867,0.9983873199748641,0.08731465536012792,0.29031459893449285,0.2837713711950742
1,93,0.034110556831065474,0.02,0,0.016810887164433477,-0.016810887164433477,0.029513783402565424,-0.022218020978604036,71.5563275672645,0.14527093582470027,0.013634259947025025,1.0035228423625715,0.9878172106793915,0.08200499095698147,0.29542835447487453,0.28507261035210546
1,94,0.03903076520230792,0.02,0.030941206409258237,0.021159974521626317,0.00978123188763192,0.01980892123659112,-0.01489378486084636,70.68676644050508,0.14491001145672697,0.01583729331113173,0.9911388204466588,0.9920109973780946,0.07669139968569495,0.2997782763795821,0.2883916695582461
1,95,0.00770733456391625,0.02,0.03879605744952119,0.02444909826550265,0.014346959184018543,0.02961083202422526,-0.02229135554373962,69.26218890543403,0.1452745678250987,0.017990055835237904,0.9953511105343791,0.9907198234808386,0.07808240529036019,0.3037756771706931,0.27561368597485597
1,96,0.0050039957059793095,0.02,0,0.020342621256267884,-0.020342621256267884,0.039314723703982965,-0.02963337480368211,70.64727993939083,0.14564004132365624,0.014778335520445765,1.002289242418767,0.9979805816268692,0.0807739699908317,0.3068378485025414,0.2753459090273773
1,97,0.03447647653732611,0.02,0,0.017631245054443682,-0.017631245054443682,0.029707870941022747,-0.02236468460871377,72.0586518251433,0.14527819991630286,0.012465115433488582,1.0076809012065058,0.9911398292927018,0.07534906201238918,0.3058599856830413,0.2741103652587266
1,98,0.03981408229542296,0.02,0.03134009634073287,0.02194567095507061,0.00939442538566226,0.02000494965043299,-0.01504154709890737,71.19524506911836,0.1449172575007576,0.014649741503209588,1.0083791913425055,0.9940085448697674,0.07183207173193228,0.3053327016686125,0.2814193776278654
1,99,0.007847474958733574,0.02,0.03969592931329835,0.023240347650598583,0.016455581662699767,0.029804900153928657,-0.022438008173939483,69.7318546962322,0.145281832098315,0.016848631024995155,1.0192261017914683,0.9887819825290235,0.07264730034072713,0.3073549911289875,0.28233167929679337
