"date","inflation","exp_inflation","nominal_interest_rate","output_gap","inflation_diff","exp_inflation_diff","nominal_interest_rate_diff","output_gap_diff"
2002-01-01,0.0608267272462137,0.0494,0.1852,-0.013,-0.0303738059576162,0.001,-0.0053,0.012
2002-04-01,0.0586861830303067,0.0457,0.1841,-0.016,-0.002140544215907,-0.0037,-0.00109999999999999,-0.003
2002-07-01,0.107307824957121,0.0628,0.179,-0.006,0.0486216419268143,0.0171,-0.00510000000000002,0.01
2002-10-01,0.289431904977078,0.1324,0.249,-0.003,0.182124080019957,0.0696,0.07,0.003
2003-01-01,0.221664696623644,0.099,0.2632,-0.024,-0.067767208353434,-0.0334,0.0142,-0.021
2003-04-01,0.058586370008505,0.0708,0.2576,-0.03,-0.163078326615139,-0.0282,-0.00559999999999999,-0.006
2003-07-01,0.0540584373414448,0.0656,0.1984,-0.029,-0.0045279326670602,-0.0052,-0.0592,0.000999999999999997
2003-10-01,0.046976253870558,0.0592,0.1633,-0.027,-0.00708218347088679,-0.0064,-0.0351,0.002
2004-01-01,0.0761252961467227,0.0554,0.1611,-0.017,0.0291490422761647,-0.0038,-0.00220000000000001,0.01
2004-04-01,0.0654747753063813,0.0633,0.158,-0.008,-0.0106505208403414,0.0079,-0.00309999999999999,0.009
2004-07-01,0.0799544469632334,0.0624,0.1624,-0.005,0.0144796716568521,-0.000899999999999998,0.00439999999999999,0.003
2004-10-01,0.0825501758067795,0.0608,0.1775,-0.007,0.0025957288435461,-0.0016,0.0151,-0.002
2005-01-01,0.0735699671941201,0.0567,0.1925,-0.015,-0.0089802086126594,-0.0041,0.015,-0.008
2005-04-01,0.0548531348820973,0.0485,0.1974,-0.007,-0.0187168323120228,-0.0082,0.00489999999999999,0.008
2005-07-01,0.0312351972209033,0.0474,0.1953,-0.019,-0.023617937661194,-0.0011,-0.00209999999999999,-0.012
2005-10-01,0.0684424377591184,0.0446,0.1805,-0.022,0.0372072405382151,-0.0028,-0.0148,-0.003
2006-01-01,0.0587195962388347,0.0431,0.1654,-0.016,-0.0097228415202837,-0.0015,-0.0151,0.006
2006-04-01,0.00398829345224483,0.0398,0.1518,-0.015,-0.0547313027865899,-0.0033,-0.0136,0.001
2006-07-01,0.018146158133399,0.0393,0.1417,-0.013,0.0141578646811542,-5e-04,-0.0101,0.002
2006-10-01,0.0457278544013258,0.0408,0.1319,-0.015,0.0275816962679268,0.0015,-0.0098,-0.002
2007-01-01,0.0511612167047089,0.0374,0.1268,-0.005,0.0054333623033831,-0.0034,-0.00509999999999999,0.01
2007-04-01,0.0328853733924885,0.0347,0.1193,0.002,-0.0182758433122204,-0.0027,-0.00749999999999999,0.007
2007-07-01,0.0361770056408319,0.0375,0.1118,0.002,0.0032916322483434,0.0028,-0.00750000000000001,0
2007-10-01,0.0582792565434052,0.0445,0.1118,0.009,0.0221022509025733,0.007,0,0.007
2008-01-01,0.0621000127221383,0.0436,0.1118,0.012,0.0038207561787331,-0.000899999999999998,0,0.003
2008-04-01,0.0864402995956097,0.056,0.1217,0.019,0.0243402868734714,0.0124,0.00990000000000001,0.007
2008-07-01,0.0436402795979578,0.0501,0.1366,0.026,-0.0428000199976519,-0.0059,0.0149,0.007
2008-10-01,0.0444789120978122,0.0493,0.1367,-0.022,0.0008386324998544,-0.000800000000000002,9.9999999999989e-05,-0.048
2009-01-01,0.0503104619366064,0.0414,0.1116,-0.054,0.0058315498387942,-0.0079,-0.0251,-0.032
2009-04-01,0.053675119580052,0.0406,0.0916,-0.037,0.0033646576434456,-0.000800000000000002,-0.02,0.017
2009-07-01,0.0254920039640327,0.0419,0.0865,-0.023,-0.0281831156160193,0.0013,-0.00510000000000001,0.014
2009-10-01,0.0432319182159098,0.044,0.0865,-0.007,0.0177399142518771,0.0021,0,0.016
2010-01-01,0.085144453678605,0.047,0.0865,-0.001,0.0419125354626952,0.003,0,0.006
2010-04-01,0.0407050243869895,0.0474,0.1016,0.009,-0.0444394292916155,0.000399999999999998,0.0151,0.01
2010-07-01,0.0201597994757841,0.0531,0.1066,0.016,-0.0205452249112054,0.0057,0.005,0.007
2010-10-01,0.0920667358286182,0.0552,0.1067,0.019,0.0719069363528341,0.0021,0.000100000000000003,0.003
2011-01-01,0.101212108303794,0.0561,0.1167,0.012,0.0091453724751758,0.000899999999999998,0.01,-0.007
2011-04-01,0.0569987112728234,0.0502,0.1217,0.021,-0.0442133970309706,-0.0059,0.005,0.009
2011-07-01,0.0432194854178747,0.058,0.119,0.01,-0.0137792258549487,0.0078,-0.00270000000000001,-0.011
2011-10-01,0.0595660086261809,0.0535,0.1091,0.006,0.0163465232083062,-0.0045,-0.00989999999999999,-0.004
2012-01-01,0.0498930759920049,0.0543,0.0965,-0.002,-0.00967293263417601,0.000800000000000002,-0.0126,-0.008
2012-04-01,0.0440332008956104,0.0538,0.084,0.002,-0.0058598750963945,-5e-04,-0.0125,0.004
2012-07-01,0.0578778394954977,0.0564,0.0739,0.013,0.0138446385998873,0.0026,-0.0101,0.011
2012-10-01,0.082133735276998,0.0563,0.0729,0.01,0.0242558957815003,-9.99999999999959e-05,-0.000999999999999987,-0.003
2013-01-01,0.0799742165611577,0.0553,0.0716,0.005,-0.00215951871584029,-0.001,-0.00130000000000001,-0.005
2013-04-01,0.0482256856966854,0.0574,0.079,0.024,-0.0317485308644723,0.0021,0.0074,0.019
2013-07-01,0.0250730470358067,0.0616,0.089,0.026,-0.0231526386608787,0.0042,0.01,0.002
2013-10-01,0.0842721215108067,0.0611,0.099,0.022,0.059199074475,-5e-04,0.01,-0.004
2014-01-01,0.0898899063803245,0.0642,0.1065,0.023,0.00561778486951781,0.00309999999999999,0.00749999999999999,0.001
2014-04-01,0.0629377249769594,0.0601,0.109,0.013,-0.0269521814033651,-0.00409999999999999,0.0025,-0.01
2014-07-01,0.033677432587097,0.0633,0.109,0.011,-0.0292602923898624,0.00319999999999999,0,-0.002
2014-10-01,0.070570756691033,0.0673,0.1165,0.014,0.036893324103936,0.004,0.00750000000000001,0.003
2015-01-01,0.162129705144917,0.0701,0.1265,0.003,0.091558948453884,0.0028,0.01,-0.011
2015-04-01,0.0933720071769342,0.0638,0.1365,-0.018,-0.0687576979679828,-0.0063,0.01,-0.021
2015-07-01,0.0565994229185693,0.0615,0.1415,-0.03,-0.0367725842583649,-0.0023,0.00499999999999998,-0.012
2015-10-01,0.117484799635089,0.0719,0.1415,-0.038,0.0608853767165197,0.0104,0,-0.008
2016-01-01,0.109026070912095,0.0652,0.1415,-0.044,-0.008458728722994,-0.00670000000000001,0,-0.006
2016-04-01,0.0718438474410219,0.0601,0.1415,-0.05,-0.0371822234710731,-0.00509999999999999,0,-0.00600000000000001
2016-07-01,0.0423796460963133,0.0507,0.1415,-0.053,-0.0294642013447086,-0.0094,0,-0.003
2016-10-01,0.0300033627826866,0.0469,0.1365,-0.06,-0.0123762833136267,-0.0038,-0.00499999999999998,-0.007
2017-01-01,0.0390813251201181,0.0445,0.1215,-0.048,0.0090779623374315,-0.0024,-0.015,0.012
2017-04-01,0.00880484362840273,0.0412,0.1015,-0.042,-0.0302764814917154,-0.0033,-0.02,0.006
2017-07-01,0.0238562879670161,0.0389,0.0815,-0.043,0.0150514443386134,-0.0023,-0.02,-0.000999999999999994
